priority_rank,risk_score,risk_score_100,risk_band,risk_percentile_group,recommended_action,actual_fraud,months_as_customer,age,policy_state,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,capital-gains,capital-loss,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_model,auto_year,policy_duration_days,claim_to_premium_ratio,injury_claim_ratio,property_claim_ratio,vehicle_claim_ratio,is_night_incident,multi_vehicle_flag
16,0.9869764758416502,98.7,High,Very High,Immediate Review,0,144,35,IL,100/300,500,1427.46,0,MALE,High School,machine-op-inspct,cross-fit,wife,0,0,Multi-vehicle Collision,Side Collision,Major Damage,Police,WV,Springfield,3,3,,0,0,,87900,17580,8790,61530,Dodge,Neon,1995,7823,61.57790761212223,0.2,0.1,0.7,1,1
17,0.9869685798880989,98.7,High,Very High,Immediate Review,1,22,29,IN,250/500,2000,1238.62,6000000,MALE,MD,exec-managerial,yachting,other-relative,0,-56200,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,SC,Springfield,14,1,,2,3,,70800,7080,14160,49560,Accura,MDX,2012,7556,57.16038817393552,0.1,0.2,0.7,0,0
18,0.9859366124892469,98.59,High,Very High,Immediate Review,1,279,43,OH,500/1000,2000,1281.25,0,MALE,Associate,machine-op-inspct,cross-fit,other-relative,0,0,Single Vehicle Collision,Side Collision,Major Damage,Police,SC,Columbus,13,1,YES,0,1,NO,57690,6410,12820,38460,Mercedes,C300,2010,7208,45.02634146341463,0.1111111111111111,0.2222222222222222,0.6666666666666666,0,0
19,0.984243678877363,98.42,High,Very High,Immediate Review,1,290,45,OH,100/300,1000,1311.3,0,FEMALE,Associate,machine-op-inspct,chess,wife,38500,0,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,NY,Hillsdale,23,3,YES,0,0,YES,52650,5850,5850,40950,Ford,F150,2001,8577,40.150995195607415,0.1111111111111111,0.1111111111111111,0.7777777777777778,1,1
20,0.9835064329444997,98.35,High,Very High,Immediate Review,0,381,55,OH,500/1000,500,1459.99,0,FEMALE,MD,other-service,chess,wife,35900,0,Single Vehicle Collision,Rear Collision,Major Damage,Fire,SC,Northbrook,8,1,YES,1,2,YES,60600,12120,6060,42420,Accura,TL,2011,8675,41.50713361050418,0.2,0.1,0.7,0,0
21,0.981688997951749,98.17,High,Very High,Immediate Review,1,147,37,IN,500/1000,2000,1375.29,0,FEMALE,Masters,armed-forces,chess,own-child,0,0,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,SC,Columbus,11,3,,0,1,,56160,6240,6240,43680,Ford,Fusion,2015,651,40.835023885871344,0.1111111111111111,0.1111111111111111,0.7777777777777778,0,1
22,0.9793272593225483,97.93,High,Very High,Immediate Review,0,447,61,OH,100/300,2000,1137.16,0,FEMALE,High School,exec-managerial,skydiving,other-relative,0,-51000,Multi-vehicle Collision,Front Collision,Major Damage,Fire,SC,Springfield,21,3,YES,1,2,YES,114920,17680,17680,79560,Audi,A3,2006,5741,101.05877800837172,0.1538461538461538,0.1538461538461538,0.6923076923076923,0,1
23,0.9759725147012092,97.6,High,Very High,Immediate Review,1,463,59,IL,250/500,1000,979.73,0,FEMALE,JD,exec-managerial,yachting,not-in-family,51700,0,Multi-vehicle Collision,Front Collision,Major Damage,Other,SC,Columbus,14,2,,1,2,NO,72400,7240,14480,50680,Chevrolet,Tahoe,1999,7498,73.89791064885223,0.1,0.2,0.7,0,1
24,0.97505169677194,97.51,High,Very High,Immediate Review,1,256,41,IL,250/500,2000,1415.74,6000000,FEMALE,PhD,armed-forces,board-games,unmarried,48900,-62400,Single Vehicle Collision,Front Collision,Major Damage,Police,OH,Arlington,5,1,,1,2,NO,63400,6340,6340,50720,Chevrolet,Tahoe,2014,8996,44.782234026021726,0.1,0.1,0.8,1,0
25,0.9730300008790258,97.3,High,Very High,Immediate Review,1,242,44,IL,500/1000,2000,1396.89,6000000,FEMALE,College,priv-house-serv,chess,other-relative,0,-61600,Multi-vehicle Collision,Front Collision,Minor Damage,Other,SC,Springfield,15,3,NO,1,2,YES,66900,6690,13380,46830,Suburu,Forrestor,1999,4207,47.89210317204647,0.1,0.2,0.7,0,1
26,0.97233764426131,97.23,High,Very High,Immediate Review,1,177,33,IL,100/300,1000,1609.67,0,MALE,College,adm-clerical,yachting,wife,0,-13200,Single Vehicle Collision,Side Collision,Major Damage,Ambulance,SC,Springfield,22,1,,1,3,,82800,20700,13800,48300,Jeep,Grand Cherokee,2004,4404,51.43911484962756,0.25,0.1666666666666666,0.5833333333333334,0,0
27,0.9719754122068768,97.2,High,Very High,Immediate Review,1,239,39,IN,250/500,2000,625.08,0,FEMALE,JD,protective-serv,hiking,wife,44200,-37000,Single Vehicle Collision,Front Collision,Major Damage,Fire,SC,Riverwood,10,1,NO,2,3,YES,87890,15980,7990,63920,BMW,X6,2014,8904,140.60600243168872,0.1818181818181818,0.0909090909090909,0.7272727272727273,0,0
28,0.971845245116713,97.18,High,Very High,Immediate Review,1,82,27,IL,100/300,1000,1384.51,0,MALE,PhD,adm-clerical,reading,not-in-family,13100,-38200,Single Vehicle Collision,Rear Collision,Major Damage,Other,SC,Springfield,14,1,NO,2,3,,71680,8960,8960,53760,Volkswagen,Jetta,2007,6724,51.7728293764581,0.125,0.125,0.75,0,0
29,0.9700851679334178,97.01,High,Very High,Immediate Review,0,322,44,IL,100/300,1000,1156.19,0,FEMALE,College,machine-op-inspct,cross-fit,husband,49900,-62700,Multi-vehicle Collision,Side Collision,Major Damage,Fire,NY,Northbrook,20,3,YES,0,3,,49400,9880,4940,34580,Jeep,Wrangler,2010,3710,42.726541485396,0.2,0.1,0.7,0,1
30,0.9679614769798162,96.8,High,Very High,Immediate Review,1,111,27,OH,250/500,500,1459.97,5000000,MALE,MD,sales,yachting,other-relative,0,0,Multi-vehicle Collision,Side Collision,Major Damage,Police,SC,Northbend,2,3,NO,1,2,NO,80850,7350,14700,58800,Ford,F150,2011,4541,55.37785022979924,0.0909090909090909,0.1818181818181818,0.7272727272727273,1,1
31,0.9674018899251036,96.74,High,Very High,Immediate Review,1,257,40,IN,100/300,2000,1306.0,0,MALE,Associate,machine-op-inspct,cross-fit,husband,46100,-46900,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,NY,Columbus,3,3,YES,2,1,,50050,7700,3850,38500,Ford,Fusion,2008,5491,38.32312404287902,0.1538461538461538,0.0769230769230769,0.7692307692307693,1,1
32,0.9666087866196059,96.66,High,Very High,Immediate Review,1,128,32,OH,100/300,2000,768.91,0,FEMALE,College,sales,chess,other-relative,0,-39300,Single Vehicle Collision,Rear Collision,Total Loss,Fire,SC,Columbus,0,1,,1,0,NO,59800,5980,5980,47840,Ford,F150,1999,4981,77.77243110377027,0.1,0.1,0.8,1,0
33,0.9665693995312089,96.66,High,Very High,Immediate Review,1,252,39,IL,500/1000,500,1312.22,9000000,MALE,High School,transport-moving,cross-fit,other-relative,0,-33300,Multi-vehicle Collision,Front Collision,Minor Damage,Other,NC,Riverwood,15,3,,0,3,NO,59400,11880,5940,41580,Jeep,Grand Cherokee,2010,4011,45.26679977442807,0.2,0.1,0.7,0,1
34,0.9663354651553059,96.63,High,Very High,Immediate Review,1,254,39,IN,100/300,500,1362.87,0,FEMALE,MD,exec-managerial,chess,other-relative,35700,0,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,NY,Arlington,6,3,YES,2,2,NO,82320,13720,6860,61740,Dodge,Neon,1995,7741,60.401945893592206,0.1666666666666666,0.0833333333333333,0.75,0,1
35,0.9660512921599826,96.61,High,Very High,Immediate Review,1,222,41,OH,100/300,2000,1055.53,0,FEMALE,MD,armed-forces,cross-fit,not-in-family,37800,-50300,Single Vehicle Collision,Front Collision,Total Loss,Other,WV,Northbrook,7,1,NO,0,2,NO,61290,6810,6810,47670,Honda,Civic,1995,5933,58.06561632544789,0.1111111111111111,0.1111111111111111,0.7777777777777778,0,0
36,0.9653147882814287,96.53,High,Very High,Immediate Review,1,102,32,OH,100/300,500,1537.07,3000000,MALE,JD,tech-support,chess,wife,0,0,Single Vehicle Collision,Side Collision,Total Loss,Other,OH,Northbend,11,1,NO,1,0,NO,47400,9480,4740,33180,Chevrolet,Silverado,2004,155,30.83789287410463,0.2,0.1,0.7,0,0
37,0.965122568986243,96.51,High,Very High,Immediate Review,1,235,39,IL,500/1000,2000,1453.61,4000000,MALE,JD,craft-repair,yachting,other-relative,0,0,Single Vehicle Collision,Side Collision,Major Damage,Other,NC,Hillsdale,10,1,,0,3,,60320,9280,9280,41760,Chevrolet,Tahoe,2012,622,41.49668755718522,0.1538461538461538,0.1538461538461538,0.6923076923076923,0,0
38,0.9648127492547824,96.48,High,Very High,Immediate Review,1,414,52,IN,500/1000,500,1335.13,0,FEMALE,High School,farming-fishing,chess,unmarried,44000,-71000,Single Vehicle Collision,Rear Collision,Total Loss,Police,SC,Northbend,13,1,YES,1,1,,54810,6090,6090,42630,Chevrolet,Silverado,1999,4346,41.05218218450637,0.1111111111111111,0.1111111111111111,0.7777777777777778,0,0
39,0.9642142583210345,96.42,High,Very High,Immediate Review,1,152,30,IN,500/1000,500,1448.54,0,FEMALE,JD,craft-repair,polo,wife,58600,0,Single Vehicle Collision,Side Collision,Major Damage,Fire,VA,Northbrook,9,1,YES,1,1,,84590,7690,7690,69210,Toyota,Highlander,2000,1912,58.39673050105624,0.0909090909090909,0.0909090909090909,0.8181818181818182,0,0
40,0.9641230682943022,96.41,High,Very High,Immediate Review,1,142,33,IN,100/300,2000,1362.64,5000000,FEMALE,JD,exec-managerial,cross-fit,wife,0,0,Single Vehicle Collision,Side Collision,Total Loss,Other,NC,Columbus,11,1,YES,1,3,,81360,6780,13560,61020,Suburu,Legacy,2009,7278,59.70762637233605,0.0833333333333333,0.1666666666666666,0.75,0,0
41,0.9635345281893166,96.35,High,Very High,Immediate Review,0,219,43,IN,100/300,1000,1114.29,0,FEMALE,High School,transport-moving,polo,other-relative,51300,0,Single Vehicle Collision,Side Collision,Major Damage,Ambulance,VA,Northbrook,1,1,,2,2,YES,66660,6060,6060,54540,Toyota,Highlander,2006,4585,59.82284683520448,0.0909090909090909,0.0909090909090909,0.8181818181818182,1,0
42,0.9629294715871243,96.29,High,Very High,Immediate Review,0,138,30,OH,500/1000,500,1093.07,4000000,FEMALE,PhD,other-service,reading,wife,27700,-72400,Single Vehicle Collision,Front Collision,Major Damage,Other,VA,Hillsdale,0,1,,2,2,NO,83160,6930,13860,62370,Volkswagen,Jetta,2011,4745,76.07929958740063,0.0833333333333333,0.1666666666666666,0.75,1,0
43,0.9618161576090054,96.18,High,Very High,Immediate Review,1,107,26,IL,500/1000,2000,932.14,0,MALE,MD,sales,cross-fit,own-child,40600,0,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,SC,Columbus,2,3,NO,2,3,NO,78650,14300,7150,57200,Audi,A3,1996,6504,84.37573755015342,0.1818181818181818,0.0909090909090909,0.7272727272727273,1,1
44,0.9610963825371565,96.11,High,Very High,Immediate Review,1,282,43,OH,250/500,500,1452.27,0,MALE,MD,farming-fishing,video-games,not-in-family,75800,0,Single Vehicle Collision,Side Collision,Major Damage,Ambulance,SC,Northbend,19,1,NO,1,2,NO,46800,4680,9360,32760,Audi,A5,2007,3095,32.225412629882875,0.1,0.2,0.7,0,0
45,0.9607958590601964,96.08,High,Very High,Immediate Review,1,206,42,IL,500/1000,1000,1230.76,0,MALE,High School,machine-op-inspct,yachting,unmarried,0,-74200,Single Vehicle Collision,Rear Collision,Major Damage,Fire,VA,Hillsdale,2,1,,1,1,NO,78980,7180,14360,57440,Saab,92x,1997,7755,64.17173128798466,0.0909090909090909,0.1818181818181818,0.7272727272727273,1,0
46,0.960000609197259,96.0,High,Very High,Immediate Review,1,375,50,OH,100/300,1000,1275.39,0,MALE,Associate,sales,bungie-jumping,other-relative,0,0,Single Vehicle Collision,Front Collision,Major Damage,Police,NY,Riverwood,16,1,YES,2,3,NO,37280,0,0,37280,Audi,A5,1996,2916,29.23027466108406,0.0,0.0,1.0,0,0
47,0.9597636275831622,95.98,High,Very High,Immediate Review,1,222,39,OH,500/1000,500,1757.87,0,MALE,High School,transport-moving,board-games,not-in-family,71400,0,Multi-vehicle Collision,Rear Collision,Major Damage,Other,SC,Northbrook,9,3,YES,2,1,,55000,5000,10000,40000,Saab,93,1996,3975,31.287865428046445,0.0909090909090909,0.1818181818181818,0.7272727272727273,0,1
48,0.959164361903653,95.92,High,Very High,Immediate Review,1,140,35,OH,100/300,1000,1520.78,0,FEMALE,High School,craft-repair,chess,wife,0,-42900,Parked Car,,Trivial Damage,,SC,Columbus,5,1,,0,2,YES,2860,520,260,2080,Chevrolet,Tahoe,1997,2497,1.880613895500993,0.1818181818181818,0.0909090909090909,0.7272727272727273,1,0
49,0.9580287027176633,95.8,High,Very High,Immediate Review,1,96,29,IN,250/500,1000,1274.7,5000000,MALE,College,prof-specialty,hiking,other-relative,47500,-58700,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,NC,Springfield,15,3,YES,2,3,YES,55400,5540,11080,38780,Chevrolet,Silverado,2004,2940,43.4612065584059,0.1,0.2,0.7,0,1
50,0.9578829451857147,95.79,High,Very High,Immediate Review,1,356,54,OH,500/1000,500,912.3,0,MALE,College,prof-specialty,yachting,wife,58500,-44000,Multi-vehicle Collision,Front Collision,Major Damage,Other,SC,Northbend,23,3,NO,2,1,,68750,12500,12500,43750,Audi,A5,2007,2526,75.35898279074866,0.1818181818181818,0.1818181818181818,0.6363636363636364,1,1
51,0.9577516725465991,95.78,High,Very High,Immediate Review,1,84,32,IL,500/1000,500,1694.09,7000000,FEMALE,Associate,prof-specialty,cross-fit,husband,0,0,Single Vehicle Collision,Rear Collision,Total Loss,Other,NY,Northbend,0,1,YES,0,2,,57240,4770,9540,42930,BMW,X6,1995,5080,33.788051402227744,0.0833333333333333,0.1666666666666666,0.75,1,0
52,0.956698818286903,95.67,High,Very High,Immediate Review,1,290,45,IL,100/300,500,1085.03,0,FEMALE,JD,sales,cross-fit,wife,0,-61000,Multi-vehicle Collision,Side Collision,Total Loss,Police,VA,Arlington,23,3,YES,2,2,NO,64800,12960,6480,45360,Audi,A3,2014,6237,59.72185100872787,0.2,0.1,0.7,1,1
53,0.9543262103269925,95.43,High,Very High,Immediate Review,1,256,39,OH,250/500,1000,1351.1,0,FEMALE,PhD,tech-support,bungie-jumping,unmarried,0,0,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,SC,Arlington,19,3,NO,0,2,NO,64100,6410,6410,51280,Saab,95,2003,3004,47.44282436533196,0.1,0.1,0.8,0,1
54,0.9498730029330826,94.99,High,Very High,Immediate Review,1,338,47,OH,250/500,2000,1486.04,0,FEMALE,Associate,armed-forces,board-games,own-child,0,-56200,Multi-vehicle Collision,Rear Collision,Major Damage,Other,OH,Northbrook,1,3,NO,2,3,,64100,12820,6410,44870,Dodge,RAM,2014,2546,43.1347742994805,0.2,0.1,0.7,1,1
55,0.949790533244555,94.98,High,Very High,Immediate Review,1,245,42,IL,500/1000,1000,1575.74,7000000,MALE,JD,exec-managerial,chess,other-relative,0,-68900,Parked Car,,Minor Damage,Police,PA,Springfield,19,1,,2,2,,6490,590,1180,4720,Toyota,Camry,2011,4602,4.118699785497608,0.0909090909090909,0.1818181818181818,0.7272727272727273,0,0
56,0.948706202912562,94.87,High,Very High,Immediate Review,1,119,34,IL,250/500,500,1299.18,0,FEMALE,College,tech-support,hiking,wife,57100,0,Single Vehicle Collision,Front Collision,Major Damage,Fire,OH,Springfield,7,1,YES,2,1,YES,45540,8280,8280,28980,Honda,Civic,1998,1105,35.052879508613124,0.1818181818181818,0.1818181818181818,0.6363636363636364,0,0
57,0.9473652025656423,94.74,High,Very High,Immediate Review,1,402,54,OH,250/500,2000,1285.09,0,MALE,JD,farming-fishing,board-games,not-in-family,48000,-79600,Single Vehicle Collision,Rear Collision,Major Damage,Other,NY,Springfield,19,1,NO,0,2,YES,67770,7530,15060,45180,Mercedes,ML350,2013,4214,52.735606066501184,0.1111111111111111,0.2222222222222222,0.6666666666666666,0,0
58,0.9451620061554888,94.52,High,Very High,Immediate Review,0,142,30,IN,250/500,2000,1616.58,0,MALE,JD,adm-clerical,polo,husband,58500,-46800,Multi-vehicle Collision,Rear Collision,Major Damage,Other,SC,Hillsdale,13,3,YES,0,3,YES,63600,6360,12720,44520,Dodge,RAM,2010,4593,39.34231525813755,0.1,0.2,0.7,0,1
59,0.944920593652635,94.49,High,Very High,Immediate Review,1,214,41,IL,500/1000,500,1398.51,4000000,MALE,Masters,tech-support,polo,not-in-family,0,-57100,Multi-vehicle Collision,Side Collision,Major Damage,Fire,NC,Northbend,13,3,,2,0,NO,64000,12800,6400,44800,BMW,X6,1996,3752,45.76299061143646,0.2,0.1,0.7,0,1
60,0.9439133603852631,94.39,High,Very High,Immediate Review,1,427,60,IN,100/300,1000,1178.61,7000000,MALE,MD,craft-repair,board-games,own-child,0,-54400,Single Vehicle Collision,Side Collision,Major Damage,Ambulance,NY,Springfield,23,1,YES,1,2,YES,90860,12980,19470,58410,Volkswagen,Jetta,2004,3366,77.09081036135788,0.1428571428571428,0.2142857142857142,0.6428571428571429,1,0
61,0.9409727435018584,94.1,High,Very High,Immediate Review,1,77,26,IL,250/500,2000,785.82,0,MALE,JD,exec-managerial,movies,other-relative,49700,0,Multi-vehicle Collision,Rear Collision,Major Damage,Police,NY,Hillsdale,12,3,YES,2,0,,69080,12560,6280,50240,Audi,A5,2009,2434,87.90817235499223,0.1818181818181818,0.0909090909090909,0.7272727272727273,0,1
62,0.9403675736149714,94.04,High,Very High,Immediate Review,1,193,41,OH,250/500,500,847.03,0,FEMALE,JD,craft-repair,skydiving,not-in-family,0,0,Single Vehicle Collision,Side Collision,Major Damage,Other,SC,Springfield,1,1,,1,0,YES,112320,17280,17280,77760,Suburu,Impreza,2011,7147,132.60451223687474,0.1538461538461538,0.1538461538461538,0.6923076923076923,1,0
63,0.9401085258437494,94.01,High,Very High,Immediate Review,1,451,61,IN,250/500,2000,1618.65,2000000,FEMALE,Associate,transport-moving,polo,unmarried,0,-42600,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,OH,Columbus,3,3,YES,2,1,YES,78100,15620,7810,54670,Chevrolet,Tahoe,1997,6075,48.25008494733265,0.2,0.1,0.7,1,1
64,0.9384710388277169,93.85,High,Very High,Immediate Review,1,330,47,IL,100/300,2000,1133.27,0,FEMALE,High School,craft-repair,chess,wife,0,-56400,Multi-vehicle Collision,Side Collision,Total Loss,Other,NY,Northbrook,20,2,,0,2,YES,60500,11000,5500,44000,Ford,F150,1999,277,53.38533623937808,0.1818181818181818,0.0909090909090909,0.7272727272727273,0,1
65,0.9374563713928853,93.75,High,Very High,Immediate Review,1,255,44,OH,500/1000,2000,814.96,6000000,FEMALE,PhD,priv-house-serv,chess,not-in-family,68500,0,Parked Car,,Trivial Damage,Police,NC,Hillsdale,7,1,,2,2,NO,6400,640,1280,4480,Mercedes,ML350,2005,4051,7.853146166683027,0.1,0.2,0.7,0,0
66,0.937443646045908,93.74,High,Very High,Immediate Review,1,177,38,IL,100/300,2000,1540.19,0,FEMALE,College,adm-clerical,skydiving,other-relative,0,-74500,Single Vehicle Collision,Front Collision,Major Damage,Other,VA,Columbus,20,1,YES,2,0,NO,73700,7370,7370,58960,Chevrolet,Silverado,2001,1123,47.85123913283426,0.1,0.1,0.8,0,0
67,0.9363761139553929,93.64,High,Very High,Immediate Review,1,142,29,OH,100/300,2000,1307.68,0,FEMALE,MD,craft-repair,dancing,husband,0,-48500,Single Vehicle Collision,Rear Collision,Major Damage,Police,NY,Columbus,10,1,YES,1,2,NO,54360,4530,9060,40770,Mercedes,E400,1995,1831,41.56980300991068,0.0833333333333333,0.1666666666666666,0.75,0,0
68,0.9349515861367298,93.5,High,Very High,Immediate Review,1,246,44,OH,250/500,2000,1649.18,0,MALE,College,farming-fishing,base-jumping,other-relative,0,-58600,Single Vehicle Collision,Front Collision,Major Damage,Other,NY,Hillsdale,18,1,YES,1,2,YES,61380,11160,5580,44640,Honda,Civic,2009,4974,37.21849646490983,0.1818181818181818,0.0909090909090909,0.7272727272727273,0,0
69,0.9343580418794283,93.44,High,Very High,Immediate Review,1,175,39,IN,500/1000,500,1359.36,5000000,MALE,PhD,exec-managerial,hiking,husband,0,-43600,Multi-vehicle Collision,Front Collision,Major Damage,Other,SC,Arlington,9,3,YES,2,2,YES,71610,13020,6510,52080,Toyota,Highlander,2012,7256,52.679201977401135,0.1818181818181818,0.0909090909090909,0.7272727272727273,0,1
70,0.9315842675640673,93.16,High,Very High,Immediate Review,1,123,29,IN,250/500,500,1209.63,0,FEMALE,Masters,machine-op-inspct,chess,not-in-family,64800,-44200,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,NC,Arlington,17,1,YES,1,0,YES,73260,16280,0,56980,Volkswagen,Jetta,2014,892,60.56397410778502,0.2222222222222222,0.0,0.7777777777777778,0,0
71,0.9313689213653806,93.14,High,Very High,Immediate Review,1,317,46,IN,250/500,1000,1012.78,0,MALE,MD,sales,yachting,other-relative,43700,0,Single Vehicle Collision,Front Collision,Major Damage,Fire,WV,Arlington,18,1,NO,2,1,NO,104610,19020,19020,66570,Mercedes,ML350,1999,5667,103.28995438298544,0.1818181818181818,0.1818181818181818,0.6363636363636364,0,0
