priority_rank,risk_score,risk_score_100,risk_band,risk_percentile_group,recommended_action,actual_fraud,months_as_customer,age,policy_state,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,capital-gains,capital-loss,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_model,auto_year,policy_duration_days,claim_to_premium_ratio,injury_claim_ratio,property_claim_ratio,vehicle_claim_ratio,is_night_incident,multi_vehicle_flag
11,0.9610963825371563,96.11,High,Very High,Immediate Review,1,282,43,OH,250/500,500,1452.27,0,MALE,MD,farming-fishing,video-games,not-in-family,75800,0,Single Vehicle Collision,Side Collision,Major Damage,Ambulance,SC,Northbend,19,1,NO,1,2,NO,46800,4680,9360,32760,Audi,A5,2007,3095,32.225412629882875,0.1,0.2,0.7,0,0
12,0.9498730029330826,94.99,High,Very High,Immediate Review,1,338,47,OH,250/500,2000,1486.04,0,FEMALE,Associate,armed-forces,board-games,own-child,0,-56200,Multi-vehicle Collision,Rear Collision,Major Damage,Other,OH,Northbrook,1,3,NO,2,3,,64100,12820,6410,44870,Dodge,RAM,2014,2546,43.1347742994805,0.2,0.1,0.7,1,1
13,0.9306749060704752,93.07,High,Very High,Immediate Review,1,230,43,IN,500/1000,2000,1101.83,0,MALE,High School,exec-managerial,cross-fit,other-relative,28900,0,Multi-vehicle Collision,Front Collision,Minor Damage,Police,NY,Arlington,0,3,,0,3,YES,51900,5190,10380,36330,BMW,M5,2011,2883,47.1034551609595,0.1,0.2,0.7,1,1
14,0.9269988847788394,92.7,High,Very High,Immediate Review,1,371,50,IN,250/500,1000,1569.33,0,MALE,PhD,machine-op-inspct,board-games,not-in-family,79600,0,Multi-vehicle Collision,Side Collision,Major Damage,Other,WV,Springfield,2,3,NO,2,1,YES,84500,13000,13000,58500,Volkswagen,Passat,2011,7658,53.84463433439748,0.1538461538461538,0.1538461538461538,0.6923076923076923,1,1
15,0.92582633722876,92.58,High,Very High,Immediate Review,0,15,34,IL,100/300,1000,1829.63,0,MALE,JD,tech-support,cross-fit,not-in-family,56700,0,Multi-vehicle Collision,Side Collision,Total Loss,Other,SC,Arlington,21,3,YES,1,0,,67650,12300,6150,49200,Audi,A5,2009,6305,36.97468887152047,0.1818181818181818,0.0909090909090909,0.7272727272727273,0,1
16,0.9206349546562276,92.06,High,Very High,Immediate Review,1,14,28,OH,250/500,2000,1587.96,0,FEMALE,Associate,craft-repair,board-games,unmarried,0,-26900,Single Vehicle Collision,Rear Collision,Major Damage,Fire,WV,Riverwood,18,1,,2,1,YES,71280,12960,12960,45360,Audi,A5,2012,4590,44.88778054862843,0.1818181818181818,0.1818181818181818,0.6363636363636364,0,0
17,0.916659764627178,91.67,High,Very High,Immediate Review,1,230,37,IL,500/1000,1000,1060.74,0,MALE,PhD,tech-support,reading,own-child,0,-51500,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,SC,Columbus,15,1,YES,2,3,,49100,9820,4910,34370,Suburu,Impreza,1996,3560,46.28844014555876,0.2,0.1,0.7,0,0
18,0.9096328821107986,90.96,High,Very High,Immediate Review,1,405,58,IL,250/500,500,1237.88,0,MALE,MD,exec-managerial,exercise,not-in-family,0,-46900,Single Vehicle Collision,Front Collision,Major Damage,Police,NY,Arlington,11,1,,0,0,,63580,5780,5780,52020,Mercedes,ML350,1997,994,51.36200601027563,0.0909090909090909,0.0909090909090909,0.8181818181818182,0,0
19,0.9044259788444052,90.44,High,Very High,Immediate Review,0,422,60,IN,100/300,1000,1555.52,0,FEMALE,MD,machine-op-inspct,hiking,own-child,43600,-67800,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,NC,Northbrook,11,1,YES,1,1,NO,85250,15500,7750,62000,Mercedes,E400,1999,1553,54.80482411026538,0.1818181818181818,0.0909090909090909,0.7272727272727273,0,0
20,0.9009996571565944,90.1,High,Very High,Immediate Review,0,146,31,OH,100/300,1000,1457.65,5000000,FEMALE,College,armed-forces,camping,own-child,0,0,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,VA,Riverwood,0,3,NO,1,3,,52380,5820,5820,40740,Toyota,Highlander,2010,8901,35.93455219016911,0.1111111111111111,0.1111111111111111,0.7777777777777778,1,1
21,0.8873880826633134,88.74,High,Very High,Immediate Review,1,97,26,IL,250/500,1000,1252.08,0,MALE,College,exec-managerial,sleeping,not-in-family,0,0,Multi-vehicle Collision,Rear Collision,Major Damage,Other,VA,Springfield,4,2,YES,2,2,NO,50400,10080,5040,35280,Honda,CRV,2000,8497,40.253018976423235,0.2,0.1,0.7,1,1
22,0.8602332806026388,86.02,High,Very High,Immediate Review,1,16,32,IL,100/300,1000,968.46,0,MALE,MD,tech-support,chess,not-in-family,50800,-66200,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,WV,Columbus,0,3,,0,2,,59400,6600,13200,39600,Dodge,RAM,1995,4566,61.33448980856205,0.1111111111111111,0.2222222222222222,0.6666666666666666,1,1
23,0.8594513707550258,85.95,High,Very High,Immediate Review,0,80,28,IL,500/1000,1000,1740.57,0,FEMALE,College,farming-fishing,golf,wife,0,-18600,Single Vehicle Collision,Rear Collision,Major Damage,Police,SC,Northbend,3,1,,0,1,,33480,3720,3720,26040,Dodge,Neon,2011,46,19.235078164049707,0.1111111111111111,0.1111111111111111,0.7777777777777778,1,0
24,0.8543380248241554,85.43,High,Very High,Immediate Review,1,154,34,IN,100/300,500,795.23,0,MALE,PhD,machine-op-inspct,base-jumping,other-relative,36900,0,Multi-vehicle Collision,Rear Collision,Major Damage,Police,NY,Springfield,15,3,YES,2,1,,69480,15440,0,54040,Nissan,Maxima,2014,9096,87.37094928511249,0.2222222222222222,0.0,0.7777777777777778,0,1
25,0.8486568498187564,84.87,High,Very High,Immediate Review,0,434,57,OH,500/1000,2000,1422.95,0,MALE,JD,transport-moving,bungie-jumping,husband,0,0,Multi-vehicle Collision,Rear Collision,Major Damage,Other,SC,Columbus,15,3,NO,1,3,NO,66240,11040,11040,44160,Nissan,Maxima,2003,5321,46.55117888892793,0.1666666666666666,0.1666666666666666,0.6666666666666666,0,1
26,0.8433853774299536,84.34,High,Very High,Immediate Review,1,230,39,IL,100/300,1000,904.7,7000000,FEMALE,MD,craft-repair,bungie-jumping,unmarried,68600,-22300,Single Vehicle Collision,Front Collision,Major Damage,Fire,SC,Riverwood,0,1,,1,3,NO,74200,14840,14840,44520,Accura,TL,2002,5559,82.01613794628054,0.2,0.2,0.6,1,0
27,0.8346399935141189,83.46,High,Very High,Immediate Review,0,479,60,IL,100/300,2000,1304.83,0,FEMALE,College,other-service,cross-fit,husband,0,0,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,NY,Arlington,18,1,NO,0,0,NO,60600,5050,10100,45450,Honda,Civic,2001,6395,46.442831633239585,0.0833333333333333,0.1666666666666666,0.75,0,0
28,0.8319405101668779,83.19,High,Very High,Immediate Review,1,232,43,OH,250/500,500,1483.91,8000000,MALE,College,machine-op-inspct,golf,husband,0,-33600,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,NY,Arlington,17,3,NO,0,1,,70600,7060,14120,49420,Volkswagen,Passat,2013,4995,47.57700938736176,0.1,0.2,0.7,0,1
29,0.8284028892801693,82.84,High,Very High,Immediate Review,1,121,34,IN,500/1000,500,1285.42,0,MALE,MD,priv-house-serv,video-games,wife,0,0,Single Vehicle Collision,Front Collision,Major Damage,Fire,VA,Northbrook,11,1,NO,1,1,NO,67300,6730,6730,53840,Dodge,RAM,2000,8745,52.35642824913258,0.1,0.1,0.8,0,0
30,0.8267886415815057,82.68,High,Very High,Immediate Review,0,128,30,OH,100/300,1000,1061.33,0,MALE,MD,machine-op-inspct,movies,own-child,43300,-66200,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,WV,Northbrook,8,1,NO,0,3,NO,68530,12460,6230,49840,Audi,A5,1997,7638,64.56992641308547,0.1818181818181818,0.0909090909090909,0.7272727272727273,0,0
31,0.8198955307247526,81.99,High,Very High,Immediate Review,1,86,26,OH,100/300,500,1382.88,7000000,MALE,JD,tech-support,cross-fit,other-relative,0,-30300,Single Vehicle Collision,Rear Collision,Minor Damage,Police,SC,Northbend,11,1,,1,1,YES,81840,14880,7440,59520,Chevrolet,Malibu,2011,5936,59.18083998611593,0.1818181818181818,0.0909090909090909,0.7272727272727273,0,0
32,0.8170248087804864,81.7,High,Very High,Immediate Review,1,188,33,IL,250/500,1000,1340.24,0,MALE,High School,protective-serv,chess,own-child,0,-68800,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NY,Hillsdale,8,3,YES,1,0,,76010,13820,6910,55280,Dodge,RAM,1995,7618,56.71372291529875,0.1818181818181818,0.0909090909090909,0.7272727272727273,0,1
33,0.7978503632565856,79.79,High,Very High,Immediate Review,0,330,48,OH,250/500,1000,1625.65,0,MALE,College,farming-fishing,skydiving,husband,0,0,Single Vehicle Collision,Side Collision,Major Damage,Ambulance,VA,Springfield,10,1,YES,1,3,,59500,11900,5950,41650,Dodge,Neon,2006,6091,36.60074431765755,0.2,0.1,0.7,0,0
34,0.7786392498516418,77.86,High,Very High,Immediate Review,1,147,31,IN,250/500,500,1054.92,6000000,FEMALE,PhD,prof-specialty,exercise,own-child,51900,0,Single Vehicle Collision,Front Collision,Major Damage,Other,NY,Northbrook,4,1,,0,0,,68240,8530,0,59710,Toyota,Corolla,2013,6549,64.68736965836271,0.125,0.0,0.875,1,0
35,0.740530599790721,74.05,High,Very High,Immediate Review,1,11,40,OH,500/1000,2000,1217.69,0,FEMALE,MD,prof-specialty,reading,wife,24000,0,Multi-vehicle Collision,Side Collision,Major Damage,Other,SC,Springfield,6,3,,1,0,,53460,9720,9720,34020,Dodge,Neon,2004,5040,43.902799563107195,0.1818181818181818,0.1818181818181818,0.6363636363636364,0,1
36,0.738463406848074,73.85,High,Very High,Immediate Review,1,464,61,OH,500/1000,1000,1125.37,0,FEMALE,Associate,prof-specialty,basketball,husband,0,-56400,Multi-vehicle Collision,Rear Collision,Major Damage,Police,VA,Northbend,6,3,,0,2,YES,79800,6650,19950,53200,Saab,95,2000,8864,70.9100118183353,0.0833333333333333,0.25,0.6666666666666666,0,1
37,0.7374577403050167,73.75,High,Very High,Immediate Review,1,159,33,IN,100/300,2000,1462.76,0,FEMALE,College,craft-repair,skydiving,husband,69200,-36900,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,NY,Columbus,23,3,YES,2,0,NO,44880,8160,4080,32640,Mercedes,C300,2004,2776,30.681724958298012,0.1818181818181818,0.0909090909090909,0.7272727272727273,1,1
38,0.7251416892958449,72.51,High,Very High,Immediate Review,1,360,51,IL,500/1000,1000,1526.61,0,MALE,Masters,handlers-cleaners,chess,not-in-family,0,-32900,Vehicle Theft,,Minor Damage,Police,SC,Hillsdale,5,1,YES,2,2,,4620,840,840,2940,Dodge,RAM,2009,4813,3.0263132037652056,0.1818181818181818,0.1818181818181818,0.6363636363636364,1,0
39,0.7213423154676112,72.13,High,Very High,Immediate Review,1,371,51,IN,500/1000,1000,1532.47,0,FEMALE,Associate,tech-support,golf,other-relative,60300,-24700,Single Vehicle Collision,Rear Collision,Major Damage,Fire,NY,Arlington,7,1,YES,0,3,YES,75400,7540,15080,52780,Dodge,RAM,2012,3383,49.20161569231371,0.1,0.2,0.7,0,0
40,0.7076936117431923,70.77,High,Very High,Immediate Review,1,250,42,IN,100/300,500,1055.6,0,MALE,High School,exec-managerial,paintball,husband,69500,-40700,Single Vehicle Collision,Rear Collision,Major Damage,Other,SC,Columbus,16,1,,1,1,,74800,13600,6800,54400,Ford,Fusion,2009,3691,70.86017430845018,0.1818181818181818,0.0909090909090909,0.7272727272727273,0,0
41,0.702532195062846,70.25,High,High,Immediate Review,1,272,41,OH,250/500,2000,945.73,5000000,MALE,MD,protective-serv,chess,wife,38600,-42800,Single Vehicle Collision,Front Collision,Minor Damage,Fire,NY,Arlington,23,1,NO,0,0,NO,84100,16820,8410,58870,Ford,Escape,2009,8703,88.92601482452709,0.2,0.1,0.7,1,0
42,0.6875438172432188,68.75,Medium,High,Secondary Review,1,175,34,OH,100/300,500,915.29,0,FEMALE,JD,handlers-cleaners,base-jumping,wife,82400,-57100,Single Vehicle Collision,Front Collision,Major Damage,Other,NY,Arlington,14,1,,2,1,YES,36720,4080,4080,28560,Honda,Accord,2009,7210,40.1184324094003,0.1111111111111111,0.1111111111111111,0.7777777777777778,0,0
43,0.6848437072785537,68.48,Medium,High,Secondary Review,1,266,42,IN,100/300,500,1093.83,4000000,MALE,Associate,adm-clerical,board-games,other-relative,0,-49600,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,WV,Springfield,18,3,,1,1,NO,53280,4440,8880,39960,Suburu,Impreza,2015,4370,48.70958009928417,0.0833333333333333,0.1666666666666666,0.75,0,1
44,0.6763542430388699,67.64,Medium,High,Secondary Review,1,436,58,OH,250/500,2000,1407.01,5000000,MALE,PhD,tech-support,sleeping,other-relative,47400,-27600,Single Vehicle Collision,Rear Collision,Major Damage,Police,WV,Riverwood,10,1,,0,2,,59900,11980,5990,41930,BMW,X5,1997,4638,42.5725474587956,0.2,0.1,0.7,0,0
45,0.6747165161126172,67.47,Medium,High,Secondary Review,1,156,32,IL,250/500,500,1479.48,0,MALE,Masters,prof-specialty,bungie-jumping,unmarried,0,0,Single Vehicle Collision,Front Collision,Major Damage,Other,NY,Northbrook,15,1,YES,1,3,YES,74690,6790,13580,54320,Dodge,RAM,2008,8334,50.483953821613,0.0909090909090909,0.1818181818181818,0.7272727272727273,0,0
46,0.6651389528677359,66.51,Medium,High,Secondary Review,1,144,37,OH,250/500,2000,1896.91,0,FEMALE,PhD,handlers-cleaners,sleeping,not-in-family,73700,0,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,SC,Columbus,17,3,YES,1,3,NO,54400,5440,10880,38080,Chevrolet,Silverado,2015,835,28.678218787396343,0.1,0.2,0.7,0,1
47,0.6309227806809307,63.09,Medium,High,Secondary Review,0,168,32,IN,100/300,1000,1059.52,0,MALE,MD,protective-serv,camping,own-child,0,-40600,Multi-vehicle Collision,Side Collision,Major Damage,Other,VA,Hillsdale,13,2,,1,1,,57720,14430,9620,33670,Saab,93,2007,5414,54.47749924494111,0.25,0.1666666666666666,0.5833333333333334,0,1
48,0.621196833074845,62.12,Medium,High,Secondary Review,1,156,38,IL,100/300,500,1367.99,0,MALE,High School,armed-forces,board-games,own-child,26500,0,Multi-vehicle Collision,Front Collision,Major Damage,Fire,WV,Northbend,23,3,,0,3,,55200,11040,5520,38640,Saab,92x,1998,1980,40.35117215769121,0.2,0.1,0.7,1,1
49,0.6111757624469775,61.12,Medium,High,Secondary Review,1,274,43,OH,100/300,2000,1352.31,0,MALE,College,farming-fishing,basketball,wife,40700,-47300,Single Vehicle Collision,Front Collision,Major Damage,Fire,NY,Northbend,22,1,YES,0,3,YES,63840,10640,10640,42560,BMW,X5,2006,5017,47.208110566364226,0.1666666666666666,0.1666666666666666,0.6666666666666666,0,0
50,0.6108192804252291,61.08,Medium,High,Secondary Review,0,236,38,OH,250/500,1000,802.24,0,FEMALE,College,other-service,paintball,not-in-family,0,-62500,Single Vehicle Collision,Side Collision,Major Damage,Ambulance,WV,Northbrook,16,1,NO,0,1,,66840,16710,5570,44560,Mercedes,E400,2014,8167,83.31671320303151,0.25,0.0833333333333333,0.6666666666666666,0,0
51,0.5996604729081605,59.97,Medium,High,Secondary Review,0,72,29,OH,500/1000,500,973.8,0,FEMALE,Associate,craft-repair,exercise,own-child,0,-85900,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,WV,Arlington,9,1,,1,0,NO,66200,6620,6620,52960,Dodge,Neon,2013,7468,67.98110494968167,0.1,0.1,0.8,0,0
52,0.5923817624519359,59.24,Medium,High,Secondary Review,0,288,45,IL,100/300,1000,1046.71,0,MALE,Masters,priv-house-serv,polo,husband,0,0,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,NC,Hillsdale,4,3,,2,1,,48060,10680,5340,32040,Mercedes,C300,2009,4527,45.91529650046336,0.2222222222222222,0.1111111111111111,0.6666666666666666,1,1
53,0.5922669298293688,59.23,Medium,High,Secondary Review,1,283,41,OH,100/300,500,1195.01,0,FEMALE,Associate,sales,reading,own-child,60700,-54300,Multi-vehicle Collision,Side Collision,Major Damage,Other,WV,Northbend,13,3,NO,0,2,,42700,0,6100,36600,Mercedes,ML350,2011,805,35.73191856135095,0.0,0.1428571428571428,0.8571428571428571,0,1
54,0.5744979590253351,57.45,Medium,High,Secondary Review,1,156,31,IL,100/300,2000,1134.08,0,MALE,PhD,other-service,reading,husband,0,0,Single Vehicle Collision,Front Collision,Major Damage,Police,NC,Arlington,3,1,,2,0,,59000,5900,5900,47200,Ford,Fusion,2013,6713,52.02454853273138,0.1,0.1,0.8,1,0
55,0.5347332123134224,53.47,Medium,High,Secondary Review,0,64,25,IL,250/500,1000,954.16,0,MALE,Masters,prof-specialty,video-games,husband,53200,0,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,SC,Columbus,22,4,NO,0,0,,75600,12600,12600,50400,Toyota,Corolla,2005,5448,79.23199463402365,0.1666666666666666,0.1666666666666666,0.6666666666666666,0,1
56,0.5012858553935692,50.13,Medium,High,Secondary Review,0,126,34,IN,100/300,2000,1078.22,0,FEMALE,Masters,transport-moving,camping,wife,54500,0,Multi-vehicle Collision,Side Collision,Major Damage,Fire,SC,Northbend,2,3,NO,0,1,YES,58410,10620,5310,42480,Chevrolet,Tahoe,2007,2658,54.17261783309529,0.1818181818181818,0.0909090909090909,0.7272727272727273,1,1
57,0.4838705093289036,48.39,Medium,High,Secondary Review,0,5,26,IL,250/500,2000,1137.02,0,FEMALE,PhD,farming-fishing,skydiving,not-in-family,31500,0,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,WV,Springfield,22,1,YES,1,3,,88110,16020,16020,56070,Audi,A5,2003,182,77.49204059735096,0.1818181818181818,0.1818181818181818,0.6363636363636364,0,0
58,0.4485082694818729,44.85,Medium,High,Secondary Review,0,458,59,IN,100/300,1000,1685.69,0,FEMALE,High School,protective-serv,hiking,wife,31400,0,Single Vehicle Collision,Front Collision,Total Loss,Police,VA,Hillsdale,23,1,,2,2,YES,71800,14360,14360,43080,Jeep,Grand Cherokee,1995,2175,42.5938339789641,0.2,0.2,0.6,1,0
59,0.441168946062194,44.12,Medium,High,Secondary Review,0,237,43,OH,250/500,500,911.53,0,FEMALE,PhD,sales,basketball,husband,53200,0,Single Vehicle Collision,Rear Collision,Major Damage,Police,WV,Northbrook,23,1,NO,0,1,NO,59200,0,11840,47360,Chevrolet,Malibu,1998,2130,64.94575055127095,0.0,0.2,0.8,1,0
60,0.4351536266197525,43.52,Medium,High,Secondary Review,0,32,26,OH,100/300,2000,1260.32,6000000,MALE,JD,other-service,polo,not-in-family,0,-79800,Single Vehicle Collision,Side Collision,Total Loss,Fire,VA,Northbrook,16,1,,1,2,,45500,9100,4550,31850,Toyota,Corolla,2009,106,36.1019423638441,0.2,0.1,0.7,0,0
61,0.4336653950994307,43.37,Medium,High,Secondary Review,1,234,44,IN,500/1000,500,1780.67,0,MALE,Associate,other-service,exercise,other-relative,0,0,Single Vehicle Collision,Side Collision,Major Damage,Ambulance,NC,Springfield,3,1,NO,1,0,NO,70200,7020,7020,56160,Ford,F150,2012,4641,39.423363116130446,0.1,0.1,0.8,1,0
62,0.4262041992610518,42.62,Medium,High,Secondary Review,0,163,31,IN,100/300,1000,1004.63,6000000,MALE,JD,priv-house-serv,hiking,not-in-family,26900,0,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,SC,Hillsdale,14,3,YES,2,0,NO,63910,5810,11620,46480,Suburu,Forrestor,1999,4664,63.61546041826344,0.0909090909090909,0.1818181818181818,0.7272727272727273,0,1
63,0.4186298856100341,41.86,Medium,High,Secondary Review,0,85,30,OH,100/300,1000,796.35,0,FEMALE,MD,craft-repair,video-games,own-child,72400,-77000,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,SC,Northbend,9,3,YES,2,1,YES,58960,5360,10720,42880,Ford,F150,2004,4821,74.03779745086959,0.0909090909090909,0.1818181818181818,0.7272727272727273,0,1
64,0.3998094793444967,39.98,Low,High,Routine Processing,0,230,43,IN,100/300,2000,1221.14,0,MALE,MD,prof-specialty,board-games,wife,48100,0,Single Vehicle Collision,Side Collision,Total Loss,Ambulance,VA,Hillsdale,13,1,,0,2,,75460,13720,13720,48020,Audi,A5,2002,4574,61.794716412532544,0.1818181818181818,0.1818181818181818,0.6363636363636364,0,0
65,0.3753232706056826,37.53,Low,High,Routine Processing,0,127,29,OH,250/500,2000,1326.44,5000000,FEMALE,High School,sales,board-games,own-child,0,0,Multi-vehicle Collision,Front Collision,Total Loss,Fire,SC,Arlington,12,2,YES,1,1,,66950,10300,10300,46350,Saab,93,1995,5558,50.473447724736886,0.1538461538461538,0.1538461538461538,0.6923076923076923,0,1
66,0.3661294823753133,36.61,Low,High,Routine Processing,1,168,39,IL,500/1000,1000,1389.59,0,FEMALE,Masters,machine-op-inspct,exercise,own-child,0,-42600,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,NY,Northbend,23,3,YES,1,3,NO,41580,3780,7560,30240,Chevrolet,Malibu,2015,7561,29.922495124461175,0.0909090909090909,0.1818181818181818,0.7272727272727273,1,1
67,0.3648354415610733,36.48,Low,High,Routine Processing,0,312,47,OH,500/1000,1000,1212.07,0,FEMALE,MD,exec-managerial,polo,wife,66900,-51800,Multi-vehicle Collision,Side Collision,Total Loss,Fire,NY,Northbend,17,3,NO,2,3,NO,56320,7040,7040,42240,Mercedes,ML350,2000,4649,46.46596318694465,0.125,0.125,0.75,0,1
68,0.3577320660317846,35.77,Low,High,Routine Processing,0,259,43,IL,100/300,500,947.75,0,FEMALE,Masters,farming-fishing,base-jumping,not-in-family,0,-39300,Vehicle Theft,,Trivial Damage,Police,SC,Riverwood,15,1,NO,1,3,NO,7680,1280,640,5760,Audi,A5,2008,2039,8.103402796096017,0.1666666666666666,0.0833333333333333,0.75,0,0
69,0.3288158091129064,32.88,Low,High,Routine Processing,0,141,30,IL,250/500,1000,1851.78,0,FEMALE,High School,craft-repair,exercise,other-relative,78800,0,Single Vehicle Collision,Front Collision,Total Loss,Fire,SC,Riverwood,13,1,NO,1,0,YES,61740,6860,6860,48020,Audi,A3,2002,5322,33.34089362667272,0.1111111111111111,0.1111111111111111,0.7777777777777778,0,0
70,0.3205102841880035,32.05,Low,High,Routine Processing,1,473,58,IN,100/300,2000,1131.4,0,FEMALE,MD,transport-moving,movies,other-relative,55700,0,Multi-vehicle Collision,Side Collision,Major Damage,Other,WV,Hillsdale,12,4,YES,0,0,NO,63120,10520,10520,42080,Accura,MDX,1999,8137,55.78928760827293,0.1666666666666666,0.1666666666666666,0.6666666666666666,0,1
71,0.3184659887954431,31.85,Low,High,Routine Processing,0,89,32,IN,100/300,2000,1482.53,0,FEMALE,MD,tech-support,kayaking,not-in-family,49100,-45100,Parked Car,,Trivial Damage,Police,WV,Northbrook,5,1,YES,1,2,,100,10,20,70,Audi,A3,2002,6,0.0674522606625161,0.1,0.2,0.7,1,0
